Start time: 1372448503.14, Players: 1
End time: 1372448542.19, Score: 100
Player,Time,HR
Blue,2013-06-28 15:41:43.395929,142.4453125
Blue,2013-06-28 15:41:43.396192,145.605819702
Blue,2013-06-28 15:41:44.505560,143.027420044
Blue,2013-06-28 15:41:45.245400,154.156723022
Blue,2013-06-28 15:41:46.355217,152.588562012
Blue,2013-06-28 15:41:47.465562,144.305099487
Blue,2013-06-28 15:41:48.206641,129.85005188
Blue,2013-06-28 15:41:50.425336,116.070198059
Blue,2013-06-28 15:41:50.426771,116.070198059
Blue,2013-06-28 15:41:51.165280,104.205436707
Blue,2013-06-28 15:41:52.276433,99.7980270386
Blue,2013-06-28 15:41:53.390271,99.3730010986
Blue,2013-06-28 15:41:54.495356,99.279045105
Blue,2013-06-28 15:41:55.236019,93.4059829712
Blue,2013-06-28 15:41:56.345852,104.882011414
Blue,2013-06-28 15:41:58.195349,109.703536987
Blue,2013-06-28 15:41:58.195557,121.229614258
Blue,2013-06-28 15:41:59.305612,126.715942383
Blue,2013-06-28 15:42:00.419341,121.439933777
Blue,2013-06-28 15:42:01.156088,125.204948425
Blue,2013-06-28 15:42:02.266715,125.204948425
Blue,2013-06-28 15:42:03.376926,112.525115967
Blue,2013-06-28 15:42:04.487370,102.326713562
Blue,2013-06-28 15:42:05.225794,92.4194107056
Blue,2013-06-28 15:42:06.337785,84.7372131348
Blue,2013-06-28 15:42:07.449514,82.0232391357
Blue,2013-06-28 15:42:09.295220,82.0232391357
Blue,2013-06-28 15:42:09.295920,77.8859558105
Blue,2013-06-28 15:42:11.515679,72.8092193604
Blue,2013-06-28 15:42:11.515934,67.8020858765
Blue,2013-06-28 15:42:12.255602,63.3054504395
Blue,2013-06-28 15:42:13.365651,59.8759727478
Blue,2013-06-28 15:42:14.475677,59.4690246582
Blue,2013-06-28 15:42:15.215350,56.8912963867
Blue,2013-06-28 15:42:16.325841,56.2663269043
Blue,2013-06-28 15:42:17.435425,56.7375869751
Blue,2013-06-28 15:42:18.176322,57.6883468628
Blue,2013-06-28 15:42:19.285484,58.6060142517
Blue,2013-06-28 15:42:21.505237,61.960609436
Blue,2013-06-28 15:42:21.505451,63.2673034668
