Start time: 1375454841.41, Players: 1
End time: 1375455076.66, Score: 3400
Player,Time,HR
Black,2013-08-02 10:47:21.420665,91.55909729
Black,2013-08-02 10:47:21.490589,86.3894729614
Black,2013-08-02 10:47:21.578408,81.2294845581
Black,2013-08-02 10:47:21.665871,77.1207733154
Black,2013-08-02 10:47:21.744199,73.0250854492
Black,2013-08-02 10:47:21.821066,69.8071365356
Black,2013-08-02 10:47:21.922212,66.353477478
Black,2013-08-02 10:47:22.007560,63.0929718018
Black,2013-08-02 10:47:22.093424,60.2737617493
Black,2013-08-02 10:47:22.179412,57.8808097839
Black,2013-08-02 10:47:22.272072,55.4750366211
Black,2013-08-02 10:47:22.360389,53.2236671448
Black,2013-08-02 10:47:22.446414,51.2655525208
Black,2013-08-02 10:47:22.529565,98.9206085205
Black,2013-08-02 10:47:22.621446,119.249343872
Black,2013-08-02 10:47:22.707584,115.192245483
Black,2013-08-02 10:47:22.796866,111.462379456
Black,2013-08-02 10:47:22.882787,107.986816406
Black,2013-08-02 10:47:22.968534,104.747688293
Black,2013-08-02 10:47:23.056714,60.9364700317
Black,2013-08-02 10:47:23.147783,59.1509284973
Black,2013-08-02 10:47:23.239298,57.4834709167
Black,2013-08-02 10:47:23.324820,55.8768310547
Black,2013-08-02 10:47:23.415341,54.4043960571
Black,2013-08-02 10:47:23.499553,53.0043144226
Black,2013-08-02 10:47:23.584555,51.7020454407
Black,2013-08-02 10:47:23.679357,50.3906402588
Black,2013-08-02 10:47:23.766006,114.676116943
Black,2013-08-02 10:47:23.851696,112.070892334
Black,2013-08-02 10:47:23.938162,125.194084167
Black,2013-08-02 10:47:24.030468,122.279159546
Black,2013-08-02 10:47:24.119025,119.609321594
Black,2013-08-02 10:47:24.202669,117.11252594
Black,2013-08-02 10:47:24.286219,114.811630249
Black,2013-08-02 10:47:24.381053,56.1729888916
Black,2013-08-02 10:47:24.472985,54.9268188477
Black,2013-08-02 10:47:24.556184,53.8959465027
Black,2013-08-02 10:47:24.639037,52.9124336243
Black,2013-08-02 10:47:24.724626,51.9513587952
Black,2013-08-02 10:47:24.821695,50.9013023376
Black,2013-08-02 10:47:24.918708,62.3381690979
Black,2013-08-02 10:47:25.015931,61.1249046326
Black,2013-08-02 10:47:25.113723,95.8877563477
Black,2013-08-02 10:47:25.202675,70.6094055176
Black,2013-08-02 10:47:25.291852,69.4354858398
Black,2013-08-02 10:47:25.375631,68.3066101074
Black,2013-08-02 10:47:25.461857,67.1851730347
Black,2013-08-02 10:47:25.552465,66.080871582
Black,2013-08-02 10:47:25.643951,54.2018852234
Black,2013-08-02 10:47:25.730339,53.3210220337
Black,2013-08-02 10:47:25.818660,52.5007591248
Black,2013-08-02 10:47:25.903919,51.7126960754
Black,2013-08-02 10:47:25.995016,50.9168510437
Black,2013-08-02 10:47:26.086407,50.1571426392
Black,2013-08-02 10:47:26.171142,69.2256851196
Black,2013-08-02 10:47:26.261143,68.2308959961
Black,2013-08-02 10:47:26.349509,67.2795410156
Black,2013-08-02 10:47:26.442404,66.2839202881
Black,2013-08-02 10:47:26.528192,65.3770370483
Black,2013-08-02 10:47:26.615607,64.4918899536
Black,2013-08-02 10:47:26.701969,63.6499137878
Black,2013-08-02 10:47:26.789872,62.8358917236
Black,2013-08-02 10:47:26.879787,62.0027694702
Black,2013-08-02 10:47:26.967442,61.1859931946
Black,2013-08-02 10:47:27.055904,51.7677230835
Black,2013-08-02 10:47:27.142590,51.1387176514
Black,2013-08-02 10:47:27.231159,67.354598999
Black,2013-08-02 10:47:27.316692,66.5540466309
Black,2013-08-02 10:47:27.405281,65.7426071167
Black,2013-08-02 10:47:27.497617,64.9523010254
