Start time: 1380745191.64, Players: 1
End time: 1380745232.87, Score: -700
Player,Time,HR
Green,2013-10-02 16:19:52.715210,34.0
Green,2013-10-02 16:19:53.824389,34.0
Green,2013-10-02 16:19:54.565026,34.0
Green,2013-10-02 16:19:55.674872,34.0
Green,2013-10-02 16:19:56.785652,34.0
Green,2013-10-02 16:19:57.523883,34.0
Green,2013-10-02 16:19:58.634539,34.0
Green,2013-10-02 16:19:59.743983,34.0
Green,2013-10-02 16:20:00.854740,34.0
Green,2013-10-02 16:20:01.594099,34.0
Green,2013-10-02 16:20:02.725848,34.0
Green,2013-10-02 16:20:03.814245,34.0
Green,2013-10-02 16:20:04.554313,34.0
Green,2013-10-02 16:20:05.666198,47.0
Green,2013-10-02 16:20:06.775297,45.0
Green,2013-10-02 16:20:07.514413,43.0
Green,2013-10-02 16:20:08.624641,41.0
Green,2013-10-02 16:20:09.734670,40.0
Green,2013-10-02 16:20:10.843956,38.0
Green,2013-10-02 16:20:11.584542,35.0
Green,2013-10-02 16:20:12.696741,33.0
Green,2013-10-02 16:20:13.805687,32.0
Green,2013-10-02 16:20:14.545614,35.0
Green,2013-10-02 16:20:15.656262,37.0
Green,2013-10-02 16:20:16.765378,40.0
Green,2013-10-02 16:20:17.505301,42.0
Green,2013-10-02 16:20:18.614002,43.0
Green,2013-10-02 16:20:19.724589,45.0
Green,2013-10-02 16:20:20.834119,46.0
Green,2013-10-02 16:20:21.581078,47.0
Green,2013-10-02 16:20:22.685909,48.0
Green,2013-10-02 16:20:23.794472,50.0
Green,2013-10-02 16:20:24.533928,50.0
Green,2013-10-02 16:20:25.645365,51.0
Green,2013-10-02 16:20:26.754049,52.0
Green,2013-10-02 16:20:27.499907,51.0
Green,2013-10-02 16:20:28.604349,51.0
Green,2013-10-02 16:20:29.714210,51.0
Green,2013-10-02 16:20:30.828522,52.0
Green,2013-10-02 16:20:31.564125,50.0
Green,2013-10-02 16:20:32.674332,47.0
