Start time: 1380745569.0, Players: 1
End time: 1380745623.59, Score: -900
Player,Time,HR
Black,2013-10-02 16:26:09.267339,35.0
Black,2013-10-02 16:26:10.376528,38.0
Black,2013-10-02 16:26:11.487037,37.0
Black,2013-10-02 16:26:12.596410,41.0
Black,2013-10-02 16:26:13.336361,45.0
Black,2013-10-02 16:26:14.446971,45.0
Black,2013-10-02 16:26:15.556547,42.0
Black,2013-10-02 16:26:16.296668,42.0
Black,2013-10-02 16:26:17.406192,42.0
Black,2013-10-02 16:26:18.516836,42.0
Blue,2013-10-02 16:26:19.256566,42.0
Blue,2013-10-02 16:26:20.366598,42.0
Blue,2013-10-02 16:26:21.478265,42.0
Blue,2013-10-02 16:26:22.586329,42.0
Blue,2013-10-02 16:26:23.326694,42.0
Blue,2013-10-02 16:26:24.436507,42.0
Blue,2013-10-02 16:26:25.549316,42.0
Blue,2013-10-02 16:26:26.286864,42.0
Blue,2013-10-02 16:26:27.396966,42.0
Blue,2013-10-02 16:26:28.506348,42.0
Blue,2013-10-02 16:26:29.247095,42.0
Blue,2013-10-02 16:26:30.356601,42.0
Blue,2013-10-02 16:26:31.466624,42.0
Blue,2013-10-02 16:26:32.576548,42.0
Blue,2013-10-02 16:26:33.318895,42.0
Green,2013-10-02 16:26:34.427631,42.0
Green,2013-10-02 16:26:35.536358,42.0
Green,2013-10-02 16:26:36.276998,42.0
Green,2013-10-02 16:26:37.387011,33.0
Green,2013-10-02 16:26:38.496431,32.0
Green,2013-10-02 16:26:39.239774,31.0
Green,2013-10-02 16:26:40.346384,33.0
Green,2013-10-02 16:26:41.459174,34.0
Green,2013-10-02 16:26:42.567239,35.0
Green,2013-10-02 16:26:43.307330,36.0
Green,2013-10-02 16:26:44.417214,36.0
Green,2013-10-02 16:26:45.527473,36.0
Green,2013-10-02 16:26:46.267143,36.0
Green,2013-10-02 16:26:47.378726,36.0
Green,2013-10-02 16:26:48.491030,36.0
Green,2013-10-02 16:26:49.226456,36.0
Green,2013-10-02 16:26:50.336747,36.0
Green,2013-10-02 16:26:51.446986,36.0
Green,2013-10-02 16:26:52.560934,42.0
Green,2013-10-02 16:26:53.296943,40.0
Green,2013-10-02 16:26:54.406536,40.0
Green,2013-10-02 16:26:55.516868,42.0
Green,2013-10-02 16:26:56.256915,46.0
Green,2013-10-02 16:26:57.366967,49.0
Green,2013-10-02 16:26:58.476690,49.0
Green,2013-10-02 16:26:59.217120,49.0
Green,2013-10-02 16:27:00.326600,49.0
