Start time: 1380752639.64, Players: 2
End time: 1380752715.92, Score: -1300
Player,Time,HR
Black,2013-10-02 18:24:00.103067,27.0
Black,2013-10-02 18:24:00.467587,208.0
Black,2013-10-02 18:24:00.844008,208.0
Black,2013-10-02 18:24:01.212654,28.0
Black,2013-10-02 18:24:01.953354,28.0
Black,2013-10-02 18:24:02.322068,207.0
Black,2013-10-02 18:24:03.426444,207.0
Black,2013-10-02 18:24:03.437535,29.0
Black,2013-10-02 18:24:04.166481,206.0
Black,2013-10-02 18:24:04.175386,30.0
Black,2013-10-02 18:24:04.912573,34.0
Black,2013-10-02 18:24:05.278973,206.0
Black,2013-10-02 18:24:06.023521,34.0
Black,2013-10-02 18:24:06.386467,205.0
Black,2013-10-02 18:24:07.132982,34.0
Black,2013-10-02 18:24:07.496664,205.0
Black,2013-10-02 18:24:07.874540,204.0
Black,2013-10-02 18:24:08.243065,34.0
Black,2013-10-02 18:24:08.982888,34.0
Black,2013-10-02 18:24:09.349323,203.0
Black,2013-10-02 18:24:10.092938,34.0
Black,2013-10-02 18:24:10.456780,203.0
Black,2013-10-02 18:24:10.836039,203.0
Black,2013-10-02 18:24:11.204759,34.0
Black,2013-10-02 18:24:11.942761,34.0
Black,2013-10-02 18:24:12.307543,203.0
Black,2013-10-02 18:24:13.056920,34.0
Blue,2013-10-02 18:24:13.417531,203.0
Blue,2013-10-02 18:24:13.796605,203.0
Black,2013-10-02 18:24:14.163171,34.0
Black,2013-10-02 18:24:14.903578,34.0
Blue,2013-10-02 18:24:15.266952,203.0
Black,2013-10-02 18:24:16.012911,34.0
Blue,2013-10-02 18:24:16.378610,202.0
Black,2013-10-02 18:24:17.123264,34.0
Blue,2013-10-02 18:24:17.486818,202.0
Blue,2013-10-02 18:24:17.864319,202.0
Blue,2013-10-02 18:24:18.403465,34.0
Blue,2013-10-02 18:24:18.973013,34.0
Blue,2013-10-02 18:24:19.336851,202.0
Blue,2013-10-02 18:24:20.082949,34.0
Blue,2013-10-02 18:24:20.446750,202.0
Blue,2013-10-02 18:24:20.824718,202.0
Blue,2013-10-02 18:24:21.192750,34.0
Blue,2013-10-02 18:24:21.932847,34.0
Blue,2013-10-02 18:24:22.297751,201.0
Blue,2013-10-02 18:24:23.042676,34.0
Blue,2013-10-02 18:24:23.407056,201.0
