"Device","Time","HR","HRV15"
0,1365614149.26,66.4714726597,1321038.65816
0,1365614150.37,66.4714726597,1321038.65816
0,1365614152.59,51.5812097022,2081423.31122
0,1365614154.44,51.5812097022,2081423.31122
0,1365614156.29,46.9877496224,2441426.4949
0,1365614158.51,41.7059728911,2367663.22959
0,1365614160.36,40.8858603066,2306792.82143
0,1365614164.43,40.4371058586,2264786.16837
0,1365614165.54,40.4371058586,2264786.16837
0,1365614167.39,40.4371058586,2264786.16837
0,1365614170.35,49.1659350307,1768767.22959
0,1365614171.46,51.0173094443,1583583.35204
0,1365614173.31,51.0173094443,1583583.35204
0,1365614175.53,48.4289420582,1704331.92347
0,1365614177.38,46.8828486912,1766442.7398
0,1365614179.23,48.9596083231,1836391.96429
0,1365614181.45,47.8550675098,1788376.7398
0,1365614183.3,47.8550675098,1788376.7398
0,1365614186.26,52.8401585205,1120214.53571
0,1365614187.37,45.5605575744,1307371.06633
0,1365614189.59,49.385619378,1103560.4949
0,1365614191.44,50.3204936201,1047296.37245
0,1365614193.29,55.7140014592,969445.352041
0,1365614195.51,51.6192466048,871618.372449
0,1365614198.47,49.7836780655,821394.454082
0,1365614200.32,64.9099760451,185463.80102
0,1365614202.54,78.9993416722,177.964285714
0,1365614204.39,79.6284007963,405.107142857
0,1365614206.24,79.9923816779,327.066326531
0,1365614208.46,80.2368898653,294.739795918
0,1365614209.57,80.544635152,399.637755102
0,1365614211.42,80.7614652437,447.352040816
0,1365614211.42,80.8236312903,424.086734694
0,1365614212.53,81.5771583956,359.678571429
0,1365614213.27,81.1672625374,423.882653061
0,1365614214.38,81.0419681621,504.37244898
0,1365614215.49,80.6064677094,485.515306122
0,1365614217.34,80.7925363086,504.37244898
0,1365614217.34,81.0732554773,588.494897959
0,1365614218.45,82.023239918,1070.53571429
0,1365614219.56,82.3448681502,1310.94387755
0,1365614220.3,83.523913692,1616.08673469
0,1365614221.41,84.1599038173,1557.92346939
0,1365614223.26,84.3288826423,1559.10714286
0,1365614223.26,84.6688841851,1319.51530612
0,1365614224.37,85.3571791485,894.209183673
0,1365614226.22,86.6962534833,585.066326531
0,1365614226.22,87.2727272727,491.678571429
0,1365614227.33,87.8569187324,634.780612245
0,1365614229.55,88.7105290949,816.37244898
0,1365614229.55,88.8606791495,854.739795918
0,1365614230.29,88.9359449444,862.658163265
0,1365614232.51,89.2382874748,759.801020408
0,1365614232.51,90.3128695839,463.801020408
0,1365614233.25,90.7813682049,351.637755102
0,1365614234.36,91.1755128623,285.352040816
0,1365614236.21,91.0569105691,311.923469388
0,1365614236.21,90.5465128813,283.801020408
0,1365614238.43,88.9359449444,945.515306122
0,1365614238.43,87.7101388744,1447.92346939
0,1365614239.54,86.8755817561,1574.65816327
0,1365614240.28,85.3571791485,2187.92346939
0,1365614241.39,84.9428658105,2183.51530612
0,1365614242.5,83.7237117512,2173.22959184
0,1365614243.24,82.1194642683,2033.51530612
0,1365614244.35,81.1359026369,1660.25
0,1365614245.46,80.5755395683,1134.94387755
0,1365614247.31,79.3276041175,486.658163265
0,1365614247.31,79.0588235294,447.352040816
0,1365614248.42,79.0588235294,447.352040816
0,1365614249.53,78.7032699335,493.801020408
0,1365614250.27,78.2050088446,466.739795918
0,1365614251.38,78.1758957655,481.392857143
0,1365614252.49,77.943769138,368.739795918
0,1365614254.34,77.6555422021,424.658163265
0,1365614254.34,77.8282219957,427.352040816
0,1365614255.45,77.6268367064,499.637755102
0,1365614256.19,76.8878718535,534.658163265
0,1365614258.41,76.0525124491,697.352040816
0,1365614259.52,75.4242614708,549.964285714
0,1365614262.48,76.1904761905,1038.53571429
0,1365614264.33,78.0596598829,2314.37244898
0,1365614266.19,79.7796561877,3065.06632653
0,1365614267.29,81.2300551204,2279.80102041
0,1365614268.4,82.3448681502,1189.80102041
